date,pred,calculated_at
2020-03-18,4021.708,2024-08-22 06:29:39.264699
2020-03-19,5436.6104,2024-08-22 07:40:25.632163
2020-03-20,4089.2346,2024-08-22 07:40:25.632163
2020-03-21,1719.2365,2024-08-22 07:40:25.632163
2020-03-22,1417.4064,2024-08-22 07:40:25.632163
2020-03-23,4891.6396,2024-08-22 07:40:25.632163
2020-03-24,4949.0713,2024-08-22 07:40:25.632163
2020-03-25,4450.4297,2024-08-22 07:40:25.632163
2020-03-26,4072.8938,2024-08-23 04:09:33.849691
2020-03-27,2488.0996,2024-08-23 04:09:33.849691
2020-03-28,870.17896,2024-08-23 04:09:33.849691
2020-03-29,1353.616,2024-08-23 04:09:33.849691
2020-03-30,4394.44,2024-08-23 04:09:33.849691
2020-03-31,5436.7144,2024-08-23 04:09:33.849691
2020-04-01,5717.7666,2024-08-23 04:09:33.849691
2020-04-02,4582.9297,2024-08-22 08:30:17.943296
2020-04-03,3492.089,2024-08-22 08:30:17.943296
2020-04-04,3678.3062,2024-08-22 08:30:17.943296
2020-04-05,1774.4073,2024-08-22 08:30:17.943296
2020-04-06,5314.158,2024-08-22 08:30:17.943296
2020-04-07,5593.753,2024-08-22 08:30:17.943296
2020-04-08,4937.8955,2024-08-22 08:30:17.943296
2020-04-09,4204.9126,2024-08-22 18:50:10.537418
2020-04-10,2957.5017,2024-08-22 18:50:10.537418
2020-04-11,2511.5273,2024-08-22 18:50:10.537418
2020-04-12,1386.0911,2024-08-22 18:50:10.537418
2020-04-13,5272.007,2024-08-22 18:50:10.537418
2020-04-14,4850.639,2024-08-22 18:50:10.537418
2020-04-15,4611.315,2024-08-22 18:50:10.537418
2020-04-16,4653.5,2024-08-21 23:27:48.324590
2020-04-17,3022.5452,2024-08-21 23:27:48.324590
2020-04-18,2800.4006,2024-08-21 23:27:48.324590
2020-04-19,2330.8108,2024-08-21 23:27:48.324590
2020-04-20,5793.7686,2024-08-21 23:27:48.324590
2020-04-21,6056.828,2024-08-21 23:27:48.324590
2020-04-22,5864.9614,2024-08-21 23:27:48.324590
2020-04-23,4776.3335,2024-08-22 11:11:08.098324
2020-04-24,3852.0178,2024-08-22 11:11:08.098324
2020-04-25,2700.1716,2024-08-22 11:11:08.098324
2020-04-26,1272.9633,2024-08-22 11:11:08.098324
2020-04-27,5179.2153,2024-08-22 11:11:08.098324
2020-04-28,5372.823,2024-08-22 11:11:08.098324
2020-04-29,5071.2593,2024-08-22 11:11:08.098324
2020-04-30,4715.9966,2024-08-22 18:51:20.627566
2020-05-01,4271.5283,2024-08-22 18:51:20.627566
2020-05-02,2441.1147,2024-08-22 18:51:20.627566
2020-05-03,1155.3378,2024-08-22 18:51:20.627566
2020-05-04,5180.544,2024-08-22 18:51:20.627566
2020-05-05,4688.42,2024-08-22 18:51:20.627566
