date,weekday,holiday_name,tipo_feriado,demanda_feriado,demanda_promedio_otros_dias,variacion
2021-09-15,3,Yom Kippur Eve,2,4976,4907.0,-1.406154473201549
2021-09-16,4,Yom Kippur,2,4903,4764.75,-2.9015163439844693
2021-10-08,5,Tourist Bridge Holiday,1,2363,4707.25,49.80083913112752
2021-10-11,1,Day of Respect for Cultural Diversity,2,1769,5335.333333333333,66.843683618643
2021-10-17,7,Mothers' Day,2,729,627.0,-16.267942583732058
2021-11-20,6,National Sovereignty Day,1,1633,2228.6666666666665,26.727490278193233
2021-11-22,1,Tourist Bridge Holiday,1,1875,5542.25,66.16897469439307
2021-12-08,3,Immaculate Conception,2,2429,4849.75,49.914944069281916
2021-12-25,6,Christmas Day,1,424,2189.6666666666665,80.636322119044
2021-12-31,5,New Year's Eve,1,1888,4265.75,55.740491121139314
2022-01-01,6,New Year's Day,1,534,1926.25,72.27774172615185
2022-01-13,4,Public Sector Half Day,2,4324,4828.333333333333,10.445288229202617
2022-01-14,5,Public Sector Half Day,2,3826,4680.0,18.247863247863247
2022-02-28,1,Carnival / Shrove Monday,2,1973,5143.666666666667,61.642148921003184
2022-03-01,2,Carnival / Shrove Tuesday / Pancake Day,2,1680,5817.5,71.12161581435325
2022-03-24,4,Memorial Day,1,2517,5667.5,55.58888398764887
2022-04-02,6,Day of the Veterans,1,2261,2284.5,1.028671481724666
2022-04-14,4,Maundy Thursday,2,4288,5573.333333333333,23.062200956937794
2022-04-15,5,Good Friday,2,1585,5459.25,70.9667078811192
2022-04-15,5,Passover Eve,2,1585,5459.25,70.9667078811192
2022-04-16,6,First day of Passover,2,2109,2322.5,9.192680301399355
2022-04-17,7,Easter Sunday,2,705,878.3333333333334,19.734345351043647
2022-04-17,7,Second Day of Passover,2,705,878.3333333333334,19.734345351043647
2022-04-21,4,Sixth Day of Passover,2,5609,5133.0,-9.273329436976427
2022-04-22,5,Seventh Day of Passover,2,5644,3872.6,-45.74187884108868
2022-04-23,6,Last day of Passover,2,2417,2245.5,-7.637497216655534
2022-04-24,7,Action Day for Tolerance and Respect between People,2,760,821.25,7.4581430745814306
2022-05-01,7,Labor Day / May Day,2,597,852.5,29.970674486803517
2022-05-02,1,End of Ramadan,2,5617,6671.0,15.799730175385998
2022-05-18,3,Census Day,2,2136,4570.333333333333,53.263802786084156
2022-05-25,3,National Day/May 1810 Revolution,2,1795,4684.0,61.67805294619983
2022-06-17,5,Commemoration of General Don Martín Miguel de Güemes,1,2322,5563.666666666667,58.26493319753161
2022-06-20,1,Flag Day,1,2022,5808.333333333333,65.18794835007174
2022-07-09,6,Independence day,1,1967,2762.5,28.796380090497735
2022-07-09,6,Eid al-Adha,2,1967,2762.5,28.796380090497735
2022-07-30,6,Muharram/New Year,2,3086,2379.6,-29.685661455706846
2022-08-15,1,San Martín Day,2,2073,6072.75,65.86390020995431
2022-09-02,5,Public Holiday,2,3845,5723.25,32.81789193203162
2022-09-25,7,Rosh Hashana Eve,2,1062,805.0,-31.925465838509314
2022-09-26,1,Rosh Hashana,2,5922,6136.333333333333,3.492856754848167
2022-09-27,2,Second Day of Rosh Hashana,2,6759,6066.333333333333,-11.418209791746804
2022-10-04,2,Yom Kippur Eve,2,6324,5502.333333333333,-14.9330587023687
2022-10-05,3,Yom Kippur,2,7313,5387.0,-35.75273807313904
2022-10-07,5,Tourist Bridge Holiday,1,2590,4725.0,45.18518518518518
2022-10-10,1,Day of Respect for Cultural Diversity,2,1931,5677.75,65.9900488749945
2022-10-16,7,Mothers' Day,2,475,614.0,22.63843648208469
2022-11-20,7,National Sovereignty Day,1,707,1045.3333333333333,32.36607142857142
2022-11-21,1,Tourist Bridge Holiday,1,2699,6006.666666666667,55.06659267480577
